index,icd,freq
0,16,1
0,19,4
0,34,2
0,49,2
0,56,1
0,59,1
0,88,1
0,97,1
0,212,1
0,216,1
0,221,1
0,270,2
0,273,1
0,282,1
0,318,1
0,319,1
0,321,1
0,329,1
0,341,1
1,16,1
1,49,1
1,97,2
1,99,1
1,127,1
1,133,5
1,137,2
1,223,1
1,226,3
1,263,1
1,271,4
1,278,1
1,297,1
1,384,1
2,16,5
2,18,1
2,34,1
2,49,2
2,66,1
2,95,1
2,99,4
2,116,1
2,160,2
2,190,1
2,211,1
2,227,1
2,271,1
2,278,1
2,315,1
2,379,1
3,1,1
3,4,1
3,16,4
3,19,1
3,33,1
3,59,2
3,67,2
3,75,1
3,99,3
3,133,3
3,156,1
3,188,1
3,280,1
3,324,1
3,326,2
4,1,1
4,16,1
4,33,1
4,34,3
4,67,2
4,88,1
4,97,2
4,99,1
4,115,3
4,128,1
4,132,1
4,160,1
4,271,1
4,273,1
4,290,1
4,318,1
4,329,1
4,337,1
4,341,1
5,16,1
5,49,2
5,67,2
5,97,4
5,109,1
5,115,1
5,132,1
5,133,2
5,189,1
5,270,3
5,282,2
5,306,3
5,314,1
5,347,1
6,4,1
6,19,1
6,33,1
6,49,1
6,88,1
6,99,3
6,132,2
6,133,1
6,137,3
6,151,1
6,160,1
6,185,1
6,226,1
6,276,1
6,282,1
6,319,1
6,321,1
6,347,1
6,374,1
6,381,1
7,16,2
7,18,1
7,19,1
7,56,1
7,71,1
7,88,1
7,89,2
7,99,3
7,121,1
7,129,1
7,137,3
7,140,1
7,270,1
7,271,1
7,306,3
7,314,1
7,347,1
8,19,2
8,49,1
8,59,1
8,66,1
8,67,4
8,123,1
8,132,2
8,137,1
8,140,1
8,189,1
8,190,1
8,220,2
8,226,1
8,250,1
8,270,3
8,271,1
8,341,1
9,19,1
9,33,2
9,49,2
9,88,2
9,99,3
9,110,1
9,119,1
9,123,1
9,138,1
9,151,1
9,190,1
9,226,2
9,247,1
9,306,2
9,315,1
9,326,2
9,329,1
10,16,1
10,49,2
10,60,1
10,97,7
10,101,1
10,115,1
10,133,1
10,138,1
10,211,1
10,223,1
10,271,2
10,280,1
10,297,1
10,306,2
10,314,1
10,324,1
11,19,2
11,44,1
11,66,1
11,99,3
11,115,2
11,132,3
11,133,1
11,137,1
11,160,1
11,198,1
11,218,1
11,226,2
11,263,1
11,270,3
11,271,1
11,336,1
12,16,2
12,47,1
12,49,4
12,66,1
12,95,1
12,97,3
12,99,1
12,132,1
12,190,2
12,270,4
12,271,3
12,280,1
12,306,1
13,19,1
13,25,1
13,34,3
13,49,1
13,71,2
13,119,1
